,W,Reject null hypothesis
021fea7b9ee894e0a50c212098752733,128,False
76472cd61701bcfef12f0e56ae4a2245,129,False
78d5bec93e496eda72366e86f5e87510,133,False
11b9d8def57dd070a73009b0ceb880f2,126,False
9309055fb48fd73d46b2d45aba41a9d4,127,False
30381a87fea10892a599ee3646be63d9,136,False
76bb7a957118121fe37d2fb7fa829ddd,125,False
f641fa693f791d7469b06d281bd82419,127,False
a574797d5460367c41422138e8682a46,143,False
2bccd406feb6509d7adc0f06af20eb39,130,False
26ea18de1fe1957806cb9710ec10c2e1,136,False
e7d53a77ec701e151c4ed6ef5e82e584,724,True
7d1da44fe5fa112c07659cca04ac5bfb,649,True
ad38606cf90edd7f60b60a9250dfa7b2,114,False
a7ee9f34d261114ca9a7e1dcbb871a11,159,False
3c9ba9bac47d37ac83072ab5736d52b7,145,False
3bf689535665774af93be9b84244fdf2,166,False
96334d1ffaa05b0d305e6f4de644971a,128,False
3c65649e78d03870d3d9c3e87a4dac89,130,False
a9243f0d5d46677f6ca1a0086704faa8,142,False
76add0bef47730d3e02f0cb2e6372f84,644,True
9c4f85171779e4a3f46bb2f8826b1b4c,139,False
aa2319e8e8924b07ed2bd14528382b3c,136,False
b65c79c74a2594bc47a32b9e245d42df,128,False
f4dadab510b4b8636da78ffc84a82c0e,142,False
f4de59dae4d8da73a085927dc352257b,144,False
dbcf7fa30f14c5fc32fa2eeb849cd001,144,False
bc706d9e0828d1e0122bffd7eecf3846,150,False
5e79894207810214df568ac26f5f84c5,153,False
5cfeeb662c643e512cbfc724c984f53d,152,False
3800641a9bbe9e1b5fac3b8b407e003f,135,False
af986d6b5225035d332b23098401b736,128,False
8ea41924fb447cff86851b740f56d337,128,False
d0fc0eb386d1cf42b3a3cd3b17197027,144,False
18c36f19ba00cd00a2eb20527aa368ef,144,False
736bd8ef6286572fcfc8ccc6ffdd7dc6,627,True
b11ab469f992db51738706d2c2e2b554,193,False
d27d83a610560eb313e2cb54a9ee5e98,151,False
d6981b0dbb3cfacc397293636d21c0fa,129,False
11e3dfb0f665e0765e302710b7a29620,132,False
18a891e4c7fb210e56e894586729f407,142,False
43905ed446d13c5232e38ca5ac41f140,133,False
8202499ef34930244b5fbbc2cab31d56,136,False
9f7d685f9a9a9b6de7506e368b9e153d,136,False
7f9b32cb910929045a9ff3070e9a38b1,135,False
7374bbc35a664e64873ac9fa061a7ad0,125,False
be03f9d9198aaba7ae4673852f14fb73,137,False
406f87ad5a12b027e8ed398a9cfe82f7,138,False
4eb401f3f180c65e024c2d5628c8db44,135,False
07271b3c589c4f59456d069ef5cf64aa,130,False
6b8133e2739584942a9c0d64b519488b,143,False
8dde0c76da59d1558a9a124c2f895797,152,False
41e05e932e062a16a5b7bb162b86a5a6,138,False
667f039061ef0749c8174da1384ff1a1,129,False
9191ed06b4437ff154e0849f341cd11d,175,False
caefa044f38f2cc4b429f02628c72243,197,False
3f069dbca2f00a6468e7c2a1a845654a,136,False
81bb39aebcbbe70925ac0f5ac3fff0f5,133,False
722c09a6852383dbb474662328a89b80,138,False
732dd9795cdb920125f4eda2e412e84f,125,False
372ee5fa8367d5632ed3b8ba0c8becfc,132,False
317faf40ab70262d43978ca7d1f1509c,132,False
87b5b6e45377adad1a530d47dc64cd5b,147,False
bc463e566d8e2991814f58f7a90dea13,136,False
2776fcb40bfbc8fb8a3cef3f3f0a803f,133,False
7039a10db9c3f6d8bfb9f0a2db507490,134,False
3fa3154d65e7587b9a145db38dcb856b,138,False
5556a77f536203b7934fe2730d93b18f,124,False
58bf5404ab56c6adc344f5648cf07a6c,145,False
0023879846315b5eea4cc545513fb264,145,False
