,Reject null hypothesis,W
1868380ab536395f499946cf0e11a7e6,False,56
e95a8d564439edf1ae05704706c6eaea,False,48
19e0bb2b8eeec409116533b068261cc3,False,49
1c0e4bbbe4b9e35ab47d7cb0ed9bc2cb,False,51
f2375f50fed35872157892f72747cb3e,False,43
31475666c6bcfbb69bf392e9bdbe0335,False,51
45751685b2d300d16bb702f953e0e5a5,False,45
fa1d43fc2ca29b094513673a68e66777,False,50
00ab9bd631ca3a99f0ff659dd68515ca,False,53
c8f169122003beb886eebc5fddc11744,False,56
a0b3276589c3fee06f92206eefd53d83,False,56
7e710fff1855cb30fb513e4d6ccef86f,False,50
c638a78482dc8a89f87f63d5f07f4cfb,False,48
6d4ba17bc1fca6849e8724b75806f985,False,57
12d0df0e28d55e74e5b607019e377daa,False,49
db9757397a38f9ff1fd438d8ed238117,False,48
101b0d41bb7dbdf5409bd3fb5fc048f1,False,48
3995e7829b778d46c08a8259c281ffd7,False,45
6394aa3b5c15928ccbf0c94d7b4ce958,False,50
3808ca6976d1489469cfed44d071f866,False,54
6bad5f0f2484248490b4c83c6c96e2c1,False,51
2cca67080dd4614d6f6b3d4916007370,False,46
9e96b0bba7ade31b649af449ef1ac509,False,44
2bff9c99198b292a501b8a1cfea32c51,False,48
d59d8d719f32b85e271fe88daa768322,False,48
c2768d68400999b9333bda3edbad99f9,False,48
ff2f2d6e3bb3af1420c7ea115061521e,False,57
8e174bdad56d6816ac0371f3bf207866,False,46
ec19528bf13b9e6fa32cc2febf028e0b,False,46
ae6cc77a6a2caed8c1940b972a5d1274,False,51
537a3910f0803f854b8c104a67622b35,False,50
ec707b2f8728c9adf2afb9712466ac1d,False,54
78dc976512f8275a07589ef752446e61,False,56
a38c6cc6a3196e5273e0f039929d4546,False,56
e4cb17f0962d3e261f0e939065e5a74c,False,48
b12577649c592feaaa4c1b005598600f,False,58
6b136e42033b9d109790506602a9941b,False,50
26afb8efbdcef0cd500ca16ddfcb877e,False,43
5dd38f0eea6a6543729c5f272bf505c0,False,50
9086b79bd192bb1aeb516d9a7c3d6601,False,47
f9c75120d69a052ae548618c821b791f,False,58
eb612e768623d94aa7642796580db32d,False,54
7f66ececaf0af79f26c4501bf616c44e,False,56
2e2c03d753833dc2d294b5fb0bd94b95,False,56
f4f942449be059bb513fe7284d41331f,False,56
d6017a30236d01b721be405b848578d9,False,50
f93fb9b8e3a5a70d6ff156dd3423a5b3,False,48
4b40686b5ae2582331709511ba57af9e,False,45
43fca2e6a71a0e823dddd8ffa5faf790,False,51
2905a0b674bd794b6348b3eadaae7ec3,False,50
1f6bf2e065826cc7be04f15c2f8130cd,False,45
923201284d797cb415b36316d890c62a,False,50
8b7b8660512b0ea5f368b012c4567205,False,48
21a07a155bd125d1e64553d959f98a18,False,57
95cfad9649a989ed97eaaf0fa426b148,False,42
1636716ff47387947956b2b9302bb7c8,False,49
aa25d95b5248ff24cf02de3a0771b8d7,False,51
136dfe7cb0311b2350dba91f09bdcf49,False,54
c6148de98c01ac65ce4fd91ca8ee242d,False,55
8db1a0cb36a68ed4c46b9825bad0e736,False,55
5a92f14af62010872abe58ba2ed810c9,False,57
3873f16d08fbf36e81e6b5c2503f7dab,False,57
f4ded15fd57bb78aab601da5c4b410a3,False,57
3978168debba30d82b382986ad1dcfc1,False,57
293225b67bf41ecb9c7d5a19632c1978,False,53
8a186724eb53bb0b7c71f7a016404617,False,55
ebfee62112896b9259d08d9becfc1a15,False,50
e1777a492a7aed57bc36a99537b1b19a,False,51
d02df277f68ebd94dd1877d2c2eb9f7a,False,52
c53e6505b8b27353d7198e5f547c1102,False,48
ed83ffd9d61470a38db94acfe7393149,False,51
595c971ecf2347150ac8b1138a2e5fa2,False,48
db86f78b0ad6ce6d25c26ed2ab604027,False,49
769146cf9856ea302c2edc27a8063f30,False,55
0062cb1703222371ca8dba17a77f9c18,False,57
83bb46dbca206d16918bce694901eae6,False,57
fa05871f1c1a14d50f5cd8f091b07c65,False,57
c2df73bc7f4945ed61fe522eff878eac,False,57
71a90e24cf6bf714021d7a032b6d8990,False,57
1522b4481c377d6ed3ea3dc04a4f66db,False,48
0687749bbf24a9f2994e29208495cd58,False,52
c48ecdca55232781fb34640c7989254d,False,47
15f16e9aaa3d99950e805f728b6b3f53,False,43
41d223a96f3f474c88b40d1189cd90a6,False,52
